Channel,Energy(keV),Counts
630,119.3346,20
631,119.5244,19
632,119.7142,24
633,119.9040,18
634,120.0938,21
635,120.2836,23
636,120.4733,24
637,120.6631,23
638,120.8529,22
639,121.0427,28
640,121.2325,20
641,121.4223,26
642,121.6121,28
643,121.8019,18
644,121.9917,24
645,122.1815,23
646,122.3713,27
647,122.5611,24
648,122.7509,22
649,122.9407,28
650,123.1305,20
651,123.3203,20
652,123.5101,16
653,123.6999,18
654,123.8897,16
655,124.0795,19
656,124.2693,32
657,124.4591,28
658,124.6489,17
659,124.8387,20
660,125.0284,22
661,125.2182,27
662,125.4080,23
663,125.5978,28
664,125.7876,21
665,125.9774,25
666,126.1672,23
667,126.3570,34
668,126.5468,20
669,126.7366,29
670,126.9264,18
671,127.1162,19
672,127.3060,27
673,127.4958,31
674,127.6856,21
675,127.8754,17
676,128.0652,20
677,128.2550,19
678,128.4448,26
679,128.6346,19
680,128.8244,15
681,129.0141,16
682,129.2039,16
683,129.3937,14
684,129.5835,26
685,129.7733,18
686,129.9631,26
687,130.1529,19
688,130.3427,14
689,130.5325,13
690,130.7223,16
691,130.9121,15
692,131.1019,22
693,131.2917,25
694,131.4815,25
695,131.6713,26
696,131.8611,28
697,132.0509,17
698,132.2407,21
699,132.4304,23
700,132.6202,20
701,132.8100,26
702,132.9998,20
703,133.1896,30
704,133.3794,15
705,133.5692,25
706,133.7590,21
707,133.9488,23
708,134.1386,21
709,134.3284,28
710,134.5182,26
711,134.7080,27
712,134.8978,18
713,135.0876,21
714,135.2773,17
715,135.4671,23
716,135.6569,17
717,135.8467,22
718,136.0365,16
719,136.2263,18
720,136.4161,27
721,136.6059,17
722,136.7957,26
723,136.9855,24
724,137.1753,27
725,137.3651,21
726,137.5549,37
727,137.7447,31
728,137.9345,24
729,138.1242,23
730,138.3140,25
731,138.5038,20
732,138.6936,27
733,138.8834,15
734,139.0732,27
735,139.2630,22
736,139.4528,24
737,139.6426,25
738,139.8324,25
739,140.0222,18
740,140.2120,16
741,140.4018,23
742,140.5915,21
743,140.7813,17
744,140.9711,25
745,141.1609,14
746,141.3507,27
747,141.5405,28
748,141.7303,24
749,141.9201,21
750,142.1099,24
751,142.2997,25
752,142.4895,20
753,142.6793,17
754,142.8691,24
755,143.0588,24
756,143.2486,25
757,143.4384,24
758,143.6282,34
759,143.8180,18
760,144.0078,16
761,144.1976,21
762,144.3874,26
763,144.5772,23
764,144.7670,17
765,144.9568,26
766,145.1466,19
767,145.3363,28
768,145.5261,29
769,145.7159,28
770,145.9057,27
771,146.0955,22
772,146.2853,32
773,146.4751,32
774,146.6649,29
775,146.8547,19
776,147.0445,23
777,147.2343,25
778,147.4240,21
779,147.6138,19
780,147.8036,18
781,147.9934,20
782,148.1832,25
783,148.3730,24
784,148.5628,27
785,148.7526,19
786,148.9424,22
787,149.1322,20
788,149.3220,23
789,149.5117,40
790,149.7015,40
791,149.8913,21
792,150.0811,22
793,150.2709,27
794,150.4607,23
795,150.6505,29
796,150.8403,29
797,151.0301,23
798,151.2199,24
799,151.4097,28
800,151.5994,19
801,151.7892,24
802,151.9790,25
803,152.1688,27
804,152.3586,24
805,152.5484,21
806,152.7382,25
807,152.9280,13
808,153.1178,24
809,153.3076,24
810,153.4973,25
811,153.6871,27
812,153.8769,23
813,154.0667,25
814,154.2565,25
815,154.4463,25
816,154.6361,28
817,154.8259,21
818,155.0157,27
819,155.2054,29
820,155.3952,38
821,155.5850,19
822,155.7748,30
823,155.9646,31
824,156.1544,24
825,156.3442,27
826,156.5340,23
827,156.7238,28
828,156.9135,32
829,157.1033,22
830,157.2931,22
831,157.4829,31
832,157.6727,26
833,157.8625,31
834,158.0523,27
835,158.2421,31
836,158.4319,24
837,158.6216,28
838,158.8114,18
839,159.0012,24
840,159.1910,35
841,159.3808,21
842,159.5706,25
843,159.7604,20
844,159.9502,25
845,160.1400,19
846,160.3297,31
847,160.5195,24
848,160.7093,17
849,160.8991,16
850,161.0889,40
851,161.2787,34
852,161.4685,24
