Energy_keV,Real_Counts
304.65378452148445,8216127.507762277
307.6857137207032,8156380.553669892
310.7176429199219,8094382.770516587
313.7495721191407,8539188.384234993
316.78150131835946,8503506.88420695
319.8134305175782,8539801.508856252
322.8453597167969,9534630.864813732
325.8772889160157,10248547.292880692
328.9092181152344,31693640.672270726
331.94114731445313,11640975.912329692
334.9730765136719,8726409.011427727
338.0050057128907,110957706.900532
341.0369349121094,13458783.233394114
344.06886411132814,8806031.125913987
347.1007933105469,8522702.713168161
350.1327225097657,8648920.638013355
353.1646517089844,9017936.897830322
356.19658090820315,9002636.419456538
359.2285101074219,8703332.464325504
362.2604393066407,8748967.838879485
365.29236850585943,8783883.701001968
368.32429770507815,8867893.39032758
371.35622690429693,9008296.258468816
374.3881561035157,9910667.803411601
377.42008530273444,12180358.727000225
380.45201450195316,9248632.326556426
383.48394370117194,9348063.899562782
386.5158729003907,10281187.603836397
389.5478020996094,10268354.226794666
392.57973129882816,9844860.547158943
395.61166049804694,9900310.521331755
398.64358969726567,10126066.690193722
401.6755188964844,9844722.561033236
404.70744809570317,9492018.9086769
407.73937729492195,11114547.512714677
410.7713064941407,21445728.92517611
413.8032356933594,8796349.107176123
416.8351648925782,9391833.411068635
419.86709409179696,8461140.322503323
422.8990232910157,8420096.269921955
425.9309524902344,8421391.99473162
428.9628816894532,8319933.050138705
431.99481088867196,8364793.85061155
435.0267400878907,8202255.318507432
438.0586692871094,8053917.099456392
441.0905984863282,9060427.340541342
444.12252768554697,8102501.953391347
447.1544568847657,8105279.264808281
450.1863860839844,8201692.701824891
453.2183152832032,11502645.31549778
456.2502444824219,7977248.993482804
459.28217368164064,7876128.128492631
462.3141028808594,35649348.94309715
465.3460320800782,14713838.338380717
468.3779612792969,8152009.180166405
471.40989047851565,8339661.523872394
474.44181967773443,8425246.909879979
477.4737488769532,9299095.349086467
480.50567807617193,8637033.997330882
483.53760727539066,7978080.478120566
486.56953647460944,7963300.665054356
489.6014656738282,7974525.8054638645
492.63339487304694,8141066.288715228
495.66532407226566,7938578.591632244
498.69725327148444,8079419.480252084
501.7291824707032,8156061.092578456
504.76111166992195,9190091.844814055
507.79304086914067,10651674.63470727
510.82497006835945,61641555.54289692
513.8568992675782,9991093.383121666
516.8888284667969,8766070.670568066
519.9207576660156,8937937.746729026
522.9526868652345,9220717.75231646
525.9846160644531,8654113.746993957
529.0165452636718,8047402.127252787
532.0484744628907,8617751.160657635
535.0804036621093,8716015.704420645
538.1123328613281,8753798.844254587
541.1442620605469,8640698.556620197
544.1761912597656,8443389.015767718
547.2081204589845,9758293.4069643
550.2400496582031,9860765.146803651
553.2719788574218,8675932.491778586
556.3039080566407,9031560.510897417
559.3358372558594,8656457.270272074
562.3677664550781,16371060.218150934
565.3996956542969,9475787.52230199
568.4316248535156,8943913.910753112
571.4635540527345,10678000.04607845
574.4954832519531,9199426.16176148
577.5274124511718,8956125.34149531
580.5593416503907,9687275.154045414
583.5912708496094,230188107.94338608
586.623200048828,12697274.392645324
589.6551292480469,9710739.78766979
592.6870584472656,9459499.970206391
595.7189876464844,9308698.050608449
598.7509168457032,9331409.47631375
601.7828460449218,9104344.920581602
604.8147752441407,8981827.643673139
607.8467044433594,9013192.103805427
610.878633642578,9049880.591613349
613.910562841797,8904924.326322502
616.9424920410156,9546739.832009386
619.9744212402344,9473382.872301163
623.0063504394532,9167305.716222635
626.0382796386718,9069616.834155504
629.0702088378907,9365901.78767963
632.1021380371094,9154869.504866103
635.1340672363281,9185464.248239271
638.165996435547,9279198.300087485
641.1979256347656,9588603.495556038
644.2298548339844,9368466.542381566
647.2617840332032,9436789.327738574
650.2937132324219,10021177.645656565
653.3256424316406,9816169.03481812
656.3575716308594,10727189.736767637
659.3895008300781,11254318.043387864
662.421430029297,9880220.398787078
665.4533592285156,10077136.669400735
668.4852884277343,10534770.399169225
671.5172176269532,10155856.217775492
674.5491468261719,10777730.08220329
677.5810760253906,10834362.049875872
680.6130052246094,10067153.167844856
683.6449344238281,10079515.717722118
686.676863623047,10434983.31498152
689.7087928222657,10784420.330666736
692.7407220214843,10547418.319917435
695.7726512207032,10591801.635454807
698.8045804199219,10923391.901706852
701.8365096191407,12195509.857692609
704.8684388183594,11002539.499464544
707.9003680175781,11082776.7640219
710.9322972167969,10584903.215126852
713.9642264160157,10160924.6484057
716.9961556152343,9584950.847864231
